iter	RMSE
340	19650.82694
341	19648.13578
342	19638.24003
343	19633.55617
344	19625.84174
345	19614.73013
346	19609.10215
347	19600.20198
348	19586.43678
349	19582.75954
350	19578.6922
351	19573.6166
352	19568.33374
353	19558.19732
354	19539.89616
355	19534.88428
356	19522.92354
357	19516.34833
358	19512.81795
359	19505.96361
360	19492.80789
361	19488.45711
362	19483.94774
363	19479.54517
364	19473.79082
365	19460.96986
366	19453.74393
367	19443.24003
368	19439.44439
369	19387.27447
370	19381.73232
371	19377.73303
372	19373.52249
373	19370.16866
374	19365.25683
375	19340.12534
376	19337.2677
377	19333.00341
378	19324.07074
379	19320.53896
380	19313.18661
381	19310.34172
382	19303.81204
383	19296.51213
384	19276.56461
385	19268.21528
386	19265.10293
387	19258.16477
388	19252.25557
389	19249.63012
390	19247.04748
391	19243.4989
392	19239.92348
393	19233.79467
394	19231.82862
395	19180.28396
396	19175.7529
397	19173.29425
398	19167.46926
399	19162.53657
400	19142.83798
401	19141.03322
402	19138.48864
403	19133.49268
404	19131.06059
405	19128.81061
406	19126.58989
407	19124.26447
408	19121.57415
409	19119.13268
410	19116.59404
411	19114.3755
412	19110.98883
413	19103.31485
414	19100.80947
415	19095.09982
416	19090.43465
417	19087.13621
418	19083.94288
419	19081.22286
420	19078.90862
421	19078.1027
422	19073.07121
423	19071.75815
424	19069.98053
425	19068.35285
426	19064.58144
427	19061.40082
428	19056.82594
429	19050.51124
430	19048.26515
431	19046.341
432	19043.75443
433	19041.75118
434	19040.25993
435	19039.28818
436	19034.32005
437	19031.94383
438	19026.58955
439	19025.26434
440	19022.5819
441	19021.49546
442	19019.08733
443	18995.51404
444	18993.31253
445	18991.65735
446	18989.51358
447	18987.96419
448	18985.75091
449	18984.06087
450	18980.11803
451	18967.17761
452	18964.79993
453	18962.65502
454	18961.0208
455	18960.07275
456	18957.97342
457	18955.15939
458	18943.90227
459	18941.8553
460	18940.16184
461	18935.22679
462	18930.3854
463	18928.35755
464	18927.34209
465	18924.68048
466	18920.37827
467	18914.49546
468	18913.63659
469	18911.68733
470	18910.7372
471	18908.14533
472	18906.62947
473	18904.97431
474	18904.33397
475	18900.15548
476	18898.01547
477	18895.63301
478	18891.40865
479	18888.56502
480	18886.31944
481	18884.36581
482	18882.40385
483	18880.99344
484	18879.0275
485	18878.31059
486	18875.58474
487	18873.56963
488	18869.88743
489	18868.70059
490	18866.41652
491	18864.3229
492	18861.5118
493	18859.51342
494	18858.44238
495	18857.32737
496	18855.64983
497	18854.82587
498	18847.05795
499	18845.46105
500	18843.34606
501	18794.09957
502	18792.86454
503	18791.52423
504	18790.27156
505	18786.6648
506	18786.02185
507	18784.28589
508	18781.50089
509	18780.26768
510	18778.34118
511	18778.03202
512	18776.99973
513	18774.7644
514	18774.07393
515	18772.10619
516	18770.87358
517	18769.01927
518	18765.64938
519	18765.47004
520	18762.15014
521	18760.41234
522	18759.16066
523	18758.70267
524	18757.33778
525	18756.70296
526	18750.95813
527	18747.69486
528	18747.20997
529	18746.18655
530	18745.44554
531	18743.59183
532	18742.4321
533	18739.41035
534	18738.20876
535	18734.96761
536	18730.00251
537	18728.49148
538	18727.50449
539	18727.03433
540	18725.63222
541	18721.89849
542	18720.49162
543	18717.67607
544	18706.97663
545	18706.29335
546	18704.63174
547	18703.99518
548	18703.30254
549	18702.12896
550	18700.07577
551	18699.57813
552	18697.58944
553	18695.83427
554	18695.06021
555	18693.49095
556	18690.24765
557	18687.84391
558	18685.91281
559	18684.98533
560	18684.25163
561	18675.89988
562	18629.72054
563	18628.06651
564	18620.47778
565	18619.24919
566	18618.13531
567	18616.98032
568	18614.86402
569	18611.32692
570	18610.3979
571	18609.98423
572	18609.44705
573	18597.70555
574	18595.15504
575	18594.41624
576	18593.15163
577	18592.07036
578	18589.27459
579	18589.12447
580	18584.07302
581	18582.8939
582	18581.84878
583	18580.55269
584	18579.98637
585	18577.96656
586	18575.00873
587	18572.6058
588	18570.88648
589	18569.48633
590	18568.82716
591	18567.73791
592	18567.03308
593	18566.21856
594	18558.276
595	18554.51597
596	18553.38446
597	18552.45808
598	18546.26648
599	18544.99913
600	18542.26695
601	18540.3712
602	18538.59974
603	18537.90804
604	18537.23228
605	18536.58756
606	18535.72985
607	18534.85427
608	18534.06985
609	18533.08977
610	18532.4939
611	18528.64285
612	18523.08442
613	18522.17283
614	18521.55691
615	18520.8346
616	18518.93207
617	18517.07504
618	18515.14149
619	18514.46993
620	18513.45243
621	18511.01861
622	18509.01793
623	18506.04767
624	18460.84415
625	18460.63399
626	18457.52685
627	18456.96825
628	18454.32592
629	18453.3273
630	18449.54258
631	18448.06662
632	18447.70668
633	18447.17247
634	18442.55309
635	18439.46892
636	18411.19003
637	18409.27854
638	18408.38331
639	18407.94066
640	18407.41858
641	18406.78415
642	18406.3175
643	18405.9202
644	18403.46541
645	18402.88409
646	18399.27449
647	18396.58726
648	18395.67857
649	18394.87491
650	18391.80449
651	18391.04609
652	18389.92032
653	18389.32355
654	18388.49844
655	18388.02486
656	18386.88109
657	18386.059
658	18384.15668
659	18382.77935
660	18381.70259
661	18379.35083
662	18378.85576
663	18378.3178
664	18378.10638
665	18371.66905
666	18371.12713
667	18370.71219
668	18370.30909
669	18369.54132
670	18368.96015
671	18368.52758
672	18368.14302
673	18367.40836
674	18367.04273
675	18366.48865
676	18364.9119
677	18364.53871
678	18363.65969
679	18361.07331
680	18360.47513
681	18360.0979
682	18357.6381
683	18356.72598
684	18355.52988
685	18349.21384
686	18348.2413
687	18348.01653
688	18345.08956
689	18341.31183
690	18340.67613
691	18339.42901
692	18339.05787
693	18338.33598
694	18337.62988
695	18333.62668
696	18331.19748
697	18328.63291
698	18328.21685
699	18327.70057
700	18324.1843
701	18316.01445
702	18315.77416
703	18314.87827
704	18314.02612
705	18313.09153
706	18312.28386
707	18312.03625
708	18311.44018
709	18311.08376
710	18310.796
711	18309.31399
712	18307.41148
713	18307.1034
714	18305.17731
715	18300.63579
716	18298.41224
717	18297.08708
718	18296.46607
719	18293.17614
720	18291.30975
721	18290.70673
722	18288.44221
723	18287.36573
724	18287.12998
725	18284.82125
726	18284.30796
727	18282.88878
728	18281.54409
729	18281.14586
730	18280.92103
731	18278.74912
732	18276.21045
733	18270.92506
734	18270.61168
735	18270.42036
736	18270.17655
737	18269.31083
738	18268.92709
739	18268.60104
740	18264.86585
741	18264.16943
742	18263.64097
743	18261.75432
744	18261.36588
745	18247.43246
746	18245.85568
747	18244.00194
748	18242.07665
749	18234.59722
750	18230.27775
751	18229.25634
752	18229.03202
753	18221.45941
754	18174.50836
755	18174.31468
756	18174.03029
757	18173.69203
758	18173.40242
759	18173.21203
760	18170.81749
761	18168.33739
762	18168.15874
763	18167.44478
764	18167.22457
765	18166.93655
766	18160.04387
767	18159.02805
768	18158.85805
769	18158.66777
770	18155.38274
771	18154.97643
772	18150.85034
773	18150.70353
774	18150.57783
775	18149.89966
776	18149.67164
777	18149.36198
778	18147.90789
779	18145.37411
780	18143.48112
781	18143.17272
782	18140.05952
783	18139.50929
784	18132.32305
785	18132.10001
786	18098.16317
787	18088.34149
788	18088.14324
789	18086.65075
790	18067.99108
791	18067.77221
792	18067.49631
793	18067.38844
794	18066.9988
795	18066.58605
796	18064.8622
797	18063.34921
798	18063.10078
799	18062.17634
800	18062.0365
801	18061.69425
802	18061.49339
803	18061.0639
804	18054.16017
805	18052.44407
806	18052.343
807	18052.15024
808	18049.89193
809	18049.50953
810	18049.01393
811	18027.95595
812	18027.71123
813	18027.19773
814	18026.98038
815	18025.44474
816	18020.07762
817	18018.76849
818	18018.39596
819	18018.17428
820	18018.0564
821	18017.7312
822	18016.75076
823	18002.97707
824	18002.72212
825	18001.75131
826	18001.54312
827	18001.20939
828	18001.02223
829	17999.9662
830	17999.71157
831	17999.30035
832	17998.46564
833	17993.66347
834	17976.90973
835	17973.9089
836	17972.545
837	17969.9594
838	17968.1808
839	17967.73536
840	17955.26926
841	17955.08969
842	17954.96087
843	17954.63808
844	17954.16712
845	17953.99854
846	17953.83762
847	17953.45141
848	17953.27815
849	17952.96873
850	17952.45748
851	17946.51446
852	17946.32036
853	17944.85498
854	17944.66137
855	17916.62765
856	17916.47357
857	17916.10076
858	17915.98526
859	17915.59823
860	17915.33202
861	17914.96021
862	17911.91353
863	17911.35993
864	17911.24559
865	17911.10265
866	17910.65963
867	17910.51985
868	17910.38798
869	17910.18008
870	17910.02888
871	17909.8938
872	17909.76474
873	17909.49311
874	17909.32997
875	17909.2162
876	17909.08371
877	17908.74209
878	17908.6334
879	17907.4813
880	17907.38642
881	17907.20602
882	17904.01016
883	17903.83799
884	17903.60212
885	17903.25539
886	17903.17801
887	17895.24639
888	17893.32055
889	17893.21002
890	17890.07854
891	17886.44175
892	17886.36524
893	17885.95793
894	17885.73394
895	17885.24991
896	17880.14565
897	17878.42666
898	17873.82383
899	17873.48944
900	17873.36874
901	17872.11497
902	17872.02546
903	17871.79343
904	17868.52151
905	17868.42244
906	17867.62956
907	17867.53299
908	17867.12001
909	17865.95658
910	17865.79538
911	17865.55481
912	17865.25296
913	17864.19715
914	17863.241
915	17862.72813
916	17862.65869
917	17862.53123
918	17862.11249
919	17861.26539
920	17861.12998
921	17860.78837
922	17860.66035
923	17858.36497
924	17858.26425
925	17858.14085
926	17858.05136
927	17857.98097
928	17854.99649
929	17854.90208
930	17854.79145
931	17854.4802
932	17854.06319
933	17853.91266
934	17853.8271
935	17853.12152
936	17852.85758
937	17852.39648
938	17851.55132
939	17851.38892
940	17851.29203
941	17851.22821
942	17851.13716
943	17850.67301
944	17850.58626
945	17848.85704
946	17848.67938
947	17848.31401
948	17847.9102
949	17847.75209
950	17846.74492
951	17846.50914
952	17843.30884
953	17842.67543
954	17842.52119
955	17840.33747
956	17836.70719
957	17836.62682
958	17833.70425
959	17832.36617
960	17831.95427
961	17831.62365
962	17829.82487
963	17829.0431
964	17825.19311
965	17824.8562
966	17823.79755
967	17823.02318
968	17821.43282
969	17821.04067
970	17814.24529
971	17814.18037
972	17813.71814
973	17813.6652
974	17813.38701
975	17812.98346
976	17812.00011
977	17811.92974
978	17807.1465
979	17807.03239
980	17772.26178
981	17772.10385
982	17771.4979
983	17727.99697
984	17727.61406
985	17727.5264
986	17726.80569
987	17726.50275
988	17718.89724
989	17715.02681
990	17714.83538
991	17713.25404
992	17708.49061
993	17707.12585
994	17707.0739
995	17706.70613
996	17706.621
997	17706.30502
998	17705.97239
999	17698.13631
